Date,Open,High,Low,Close,Volume,RSI,Signal,Equity
2023-03-22,10.0,10.350000381469728,8.75,8.75,3621600,53.947372218579716,0,3168.737091180682
2023-03-23,9.149999618530272,9.899999618530272,8.899999618530273,9.600000381469728,2780480,61.11111438159979,0,3476.557403898494
2023-03-24,9.399999618530272,9.399999618530272,8.550000190734863,8.699999809265137,2288920,54.74860317337017,0,3150.629953015234
2023-03-27,8.649999618530273,8.699999809265137,7.974999904632568,8.199999809265137,1516780,53.551910631853566,0,2969.5592620906236
2023-03-28,8.100000381469727,8.199999809265137,7.699999809265137,8.050000190734863,2277020,53.55191342262331,0,2915.2381929592143
2023-03-29,8.649999618530273,9.050000190734863,8.399999618530273,8.850000381469727,2196200,64.04494785356553,0,3204.951367511578
2023-03-30,8.949999809265137,9.050000190734863,8.600000381469727,8.699999809265137,1731240,63.333331214057075,0,3150.629953015234
2023-03-31,8.774999618530273,9.25,8.725000381469727,9.25,2163540,60.47904143743269,0,3349.8077821052925
2023-04-03,8.949999809265137,9.350000381469728,8.725000381469727,8.949999809265137,1525140,53.548387890675706,0,3241.165298477539
2023-04-04,9.100000381469728,9.25,8.75,8.899999618530273,1221780,54.24836267242179,0,3223.0581603120913
2023-04-05,8.899999618530273,9.0,8.199999809265137,8.350000381469727,1734840,48.407643389482274,0,3023.8806765869676
2023-04-06,8.100000381469727,8.5,7.949999809265137,8.399999618530273,743140,42.95774685724035,0,3041.987469387481
2023-04-10,8.25,9.399999618530272,8.100000381469727,9.199999809265137,2765260,50.0,0,3331.7006439398447
2023-04-11,9.649999618530272,10.199999809265137,9.550000190734863,9.899999618530272,4288400,49.34210278651072,0,3585.1995421613115
2023-04-12,9.949999809265137,10.100000381469728,9.5,9.600000381469728,2856820,56.39098067841385,0,3476.557403898494
2023-04-13,9.850000381469728,11.199999809265137,9.800000190734863,10.949999809265137,4091580,59.440557201996384,0,3965.448062175981
2023-04-14,11.149999618530272,11.199999809265137,10.199999809265137,10.649999618530272,2854140,64.88549862838302,0,3856.805578548227
2023-04-17,9.800000190734863,10.145000457763672,9.550000190734863,9.899999618530272,2191100,62.50000175307823,0,3585.1995421613115
2023-04-18,10.449999809265137,10.654999732971191,10.100000381469728,10.25,1608140,65.71428649279548,0,3711.949163954513
2023-04-19,9.649999618530272,9.75,9.350000381469728,9.449999809265137,1547500,54.28571078242041,0,3422.2359894021497
2023-04-20,9.25,9.399999618530272,8.600000381469727,8.600000381469727,1736440,49.35065288933053,0,3114.4160220492727
2023-04-21,8.600000381469727,8.850000381469727,8.324999809265137,8.449999809265137,2283420,44.520545350294455,0,3060.0946075529287
2023-04-24,8.550000190734863,8.699999809265137,8.149999618530273,8.350000381469727,1534100,45.774650441302875,0,3023.8806765869676
