Date,Open,High,Low,Close,Volume,SMA_Short,SMA_Long,Signal,Equity
2023-01-30,26.729779500775336,27.49155983268477,26.6815663472782,26.95156478881836,55145800,27.05281352996826,27.706915537516277,-1,5797.429284346424
2023-01-31,26.78763917217406,27.27942109338835,26.54656971114043,27.250492095947266,52621600,27.101028442382812,27.118706385294598,-1,5797.429284346424
2023-02-01,26.893707084648906,28.378695770150827,26.6912096307426,28.03155517578125,63330600,27.641023635864258,27.411204020182293,1,5797.429284346424
2023-02-02,28.2051258177228,29.21761677805804,27.771200069456867,29.111547470092773,62230700,28.57155132293701,28.131198247273762,1,6020.7910962276155
2023-02-03,28.56190702557509,30.05653676373486,28.47512188318245,29.236900329589844,57603100,29.17422389984131,28.79333432515462,1,6046.716319925256
2023-02-06,28.84160815142617,28.939211261132037,27.924143760414697,28.00222587585449,48726400,28.619563102722168,28.783557891845703,-1,5791.363458129557
2023-02-07,27.963181376797262,28.56831911334497,27.74845604402192,28.353591918945312,50780800,28.177908897399902,28.530906041463215,-1,5791.363458129557
2023-02-08,28.255993486864,28.421918216464604,27.53373158510289,27.563013076782227,36479100,27.95830249786377,27.972943623860676,-1,5791.363458129557
2023-02-09,27.99246768618719,28.129110934064443,26.909076616232884,27.06524085998535,43906400,27.31412696838379,27.66061528523763,-1,5791.363458129557
2023-02-10,26.967639244428643,27.31900974325662,26.68459223496979,27.133563995361328,31232500,27.09940242767334,27.253939310709637,-1,5791.363458129557
2023-02-13,27.201882582603236,27.86557960510254,27.05547699339258,27.86557960510254,32347500,27.499571800231934,27.35479482014974,1,5791.363458129557
2023-02-14,27.699655213461494,28.03150465946953,27.319005144885864,27.95342254638672,27928900,27.90950107574463,27.650855382283527,1,5809.620045913386
2023-02-15,27.680138731393377,28.187671584208548,27.4849324991859,28.15839195251465,23359400,28.055907249450684,27.992464701334637,1,5852.219279286822
2023-02-16,27.81677901310538,28.13886795879215,27.45564808048717,27.523971557617188,28972500,27.841181755065918,27.87859535217285,-1,5720.3663214740045
2023-02-17,27.32876831565852,27.397089938587733,26.72363048383983,26.948118209838867,32086200,27.236044883728027,27.543493906656902,-1,5720.3663214740045
2023-02-21,26.46010403535165,26.61626827411409,25.415754990518632,25.435274124145508,63668400,26.191696166992188,26.635787963867188,-1,5720.3663214740045
2023-02-22,25.28886953467257,26.255136427710145,24.693492230847845,24.85941696166992,89195300,25.147345542907715,25.747603098551433,-1,5720.3663214740045
2023-02-23,25.161984130992423,25.454791572465364,24.71301061089303,24.99605941772461,56473200,24.927738189697266,25.096916834513348,-1,5720.3663214740045
2023-02-24,24.615408925736485,24.742293522864312,24.32260146742129,24.53732681274414,44089900,24.766693115234375,24.797601064046223,-1,5720.3663214740045
2023-02-27,24.9375008974701,24.966782391500903,24.283562423779266,24.303083419799805,37657000,24.420205116271973,24.61215655008952,-1,5720.3663214740045
2023-02-28,24.34212362595629,24.517808854002507,24.13715690602753,24.33236312866211,50255300,24.317723274230957,24.39092445373535,-1,5720.3663214740045
2023-03-01,24.429965139133525,25.298628881302815,24.37140215800737,24.7227725982666,47823400,24.527567863464355,24.452739715576172,1,5720.3663214740045
2023-03-02,24.605649728499785,25.669519737725928,24.5178089756653,25.571918487548828,48309300,25.147345542907715,24.87568473815918,1,5916.842081939832
2023-03-03,25.571919803997503,25.845206297161468,25.38647406819009,25.76712417602539,36744900,25.66952133178711,25.353938420613606,1,5962.008862554065
2023-03-06,25.8354456196771,25.90376910411764,25.30839177107945,25.366952896118164,37879800,25.567038536071777,25.56866518656413,-1,5869.417050559526
2023-03-07,25.220550097368804,25.366953846261588,24.888700607012005,24.91798210144043,43164600,25.142467498779297,25.35068639119466,-1,5869.417050559526
2023-03-08,24.947259508513877,25.386472577631437,24.839897761770864,25.35719108581543,36071900,25.13758659362793,25.21404202779134,-1,5869.417050559526
2023-03-09,25.357190236490357,26.33321759150499,25.34742973954528,25.8061637878418,54886100,25.581677436828613,25.360445658365887,1,5869.417050559526
2023-03-10,25.913524543731636,26.860272233466144,25.68903870742063,26.567462921142575,65187000,26.186813354492188,25.9102725982666,1,6042.568788660055
2023-03-13,26.09897309226763,26.655308426042996,25.97209034627264,26.303939819335938,50977000,26.435701370239258,26.225855509440105,1,5982.632449432102
2023-03-14,26.69435160720208,27.42637220779286,26.59674848813171,27.338529586791992,47689800,26.821234703063965,26.736644109090168,1,6217.942078223264
2023-03-15,27.065240108074672,27.81678167376993,26.99691848603412,27.728939056396484,49322800,27.53373432159424,27.123802820841473,1,6306.737763488042
2023-03-16,27.709416819245156,29.544349342562693,27.709416819245156,29.456506729125977,75779500,28.59272289276123,28.174658457438152,1,6699.659983066108
